week_ending,week_number,weekly_gross_overall,show,theatre,weekly_gross,potential_gross,avg_ticket_price,top_ticket_price,seats_sold,seats_in_theatre,pct_capacity,performances,previews,genre,cast,creative_team,first_preview,opening_date,closing_date,run_number,is_revival,tony_nominations,tony_wins,has_pulitzer,has_drama_desk_win,awards_detail
2003-05-11,50.0,13957866.0,"""Master Harold""...and the Boys",Royale Theatre,148824,544547,39.08,76.25,3808,1078,0.4416,0,8,,,,,,,1,0,0.0,0.0,0.0,0.0,
2003-05-18,51.0,15765758.0,"""Master Harold""...and the Boys",Royale Theatre,191588,544547,37.03,76.25,5174,1078,0.6,0,8,,,,,,,1,0,0.0,0.0,0.0,0.0,
2003-05-25,52.0,15157592.0,"""Master Harold""...and the Boys",Royale Theatre,181536,544547,40.77,76.25,4453,1078,0.5163,0,8,,,,,,,1,0,0.0,0.0,0.0,0.0,
2003-06-01,1.0,13420512.0,"""Master Harold""...and the Boys",Royale Theatre,166124,544547,40.4,76.25,4112,1078,0.4768,1,7,,,,,,,1,0,0.0,0.0,0.0,0.0,
2003-06-08,2.0,13869119.0,"""Master Harold""...and the Boys",Royale Theatre,233096,544547,41.56,76.25,5609,1078,0.6504,8,0,,,,,,,1,0,0.0,0.0,0.0,0.0,
2003-06-15,3.0,14452496.0,"""Master Harold""...and the Boys",Royale Theatre,247213,544547,40.81,76.25,6057,1078,0.7023,8,0,,,,,,,1,0,0.0,0.0,0.0,0.0,
2003-06-22,4.0,14502518.0,"""Master Harold""...and the Boys",Royale Theatre,272079,544547,40.34,76.25,6744,1078,0.782,8,0,,,,,,,1,0,0.0,0.0,0.0,0.0,
2003-06-29,5.0,14758698.0,"""Master Harold""...and the Boys",Royale Theatre,279417,544547,41.42,76.25,6746,1078,0.7822,8,0,,,,,,,1,0,0.0,0.0,0.0,0.0,
2003-07-06,6.0,12839131.0,"""Master Harold""...and the Boys",Royale Theatre,247423,544547,40.82,76.25,6061,1078,0.7028,8,0,,,,,,,1,0,0.0,0.0,0.0,0.0,
2003-07-13,7.0,13268814.0,"""Master Harold""...and the Boys",Royale Theatre,308995,544547,43.47,76.25,7108,1078,0.8242,8,0,,,,,,,1,0,0.0,0.0,0.0,0.0,
2022-10-30,,,& Juliet,Stephen Sondheim Theatre,"$316,211.00 ",,$154.63 ,$297.00 ,"2,045","1,034",98.89%,0,2,,,,,,,1,0,,,,,
2022-11-06,,,& Juliet,Stephen Sondheim Theatre,"$779,402.20 ",,$109.99 ,$297.00 ,"7,086","1,034",97.90%,0,7,,,,,,,1,0,,,,,
2022-11-13,,,& Juliet,Stephen Sondheim Theatre,"$916,640.80 ",,$113.19 ,$297.00 ,"8,098","1,034",97.90%,0,8,,,,,,,1,0,,,,,
2022-11-20,,,& Juliet,Stephen Sondheim Theatre,"$913,033.60 ",,$112.22 ,$297.00 ,"8,136","1,034",98.36%,5,3,,,,,,,1,0,,,,,
2022-11-27,,,& Juliet,Stephen Sondheim Theatre,"$1,145,571.30 ",,$141.22 ,$347.00 ,"8,112","1,026",98.83%,8,0,,,,,,,1,0,,,,,
2022-12-04,,,& Juliet,Stephen Sondheim Theatre,"$1,029,030.70 ",,$140.52 ,$323.00 ,"7,323","1,026",89.22%,8,0,,,,,,,1,0,,,,,
2022-12-11,,,& Juliet,Stephen Sondheim Theatre,"$1,152,409.00 ",,$147.63 ,$323.00 ,"7,806","1,026",95.10%,8,0,,,,,,,1,0,,,,,
2022-12-18,,,& Juliet,Stephen Sondheim Theatre,"$1,071,157.20 ",,$142.37 ,$323.00 ,"7,524","1,026",91.67%,8,0,,,,,,,1,0,,,,,
