show,theatre,opening_date,closing_date,run_number,is_revival,genre
Pass Over,August Wilson Theatre,,10-Oct-21,1,0,Play
Hadestown,Walter Kerr Theatre,,,2,1,Musical
Waitress,Ethel Barrymore Theatre,,20-Dec-21,2,1,Musical
Chicago,Ambassador Theatre,,,2,1,Musical
David Byrne's American Utopia,St. James Theatre,15-Oct-21,03-Apr-22,2,1,Musical
Hamilton,Richard Rodgers Theatre,,,2,1,Musical
Lackawanna Blues,Samuel J. Friedman Theatre,27-Sep-21,12-Nov-21,1,0,Play
SIX: The Musical,Lena Horne Theatre,,,2,1,Musical
The Lion King,Minskoff Theatre,,,2,1,Musical
Wicked,Gershwin Theatre,,,2,1,Musical
Chicken & Biscuits,Circle in the Square Theatre,,,1,0,
Come From Away,Gerald Schoenfeld Theatre,,02-Oct-22,2,1,Musical
Is This A Room,Lyceum Theatre,12-Oct-21,14-Nov-21,1,0,Play
Moulin Rouge! The Musical,Al Hirschfeld Theatre,,30-Aug-26,2,1,Musical
The Lehman Trilogy,Nederlander Theatre,,02-Jan-22,2,1,Play
Aladdin,New Amsterdam Theatre,,,2,1,Musical
Dana H.,Lyceum Theatre,,,1,0,
Thoughts of a Colored Man,John Golden Theatre,,20-Dec-21,1,0,Play
"Caroline, or Change",Studio 54,,29-Aug-04,2,1,Musical
Freestyle Love Supreme,Booth Theatre,,02-Jan-22,2,1,Musical
Tina: The Tina Turner Musical,Lunt-Fontanne Theatre,09-Oct-21,14-Aug-22,2,1,Musical
To Kill A Mockingbird,Sam S. Shubert Theatre,06-Oct-21,16-Jan-22,2,1,Play
Ain't Too Proud—The Life and Times of the Temptations,Imperial Theatre,18-Oct-21,16-Jan-22,2,1,Musical
Girl From the North Country,Belasco Theatre,,11-Jun-22,2,1,Musical
Jagged Little Pill,Broadhurst Theatre,22-Oct-21,17-Dec-21,2,1,Musical
Mrs. Doubtfire,Stephen Sondheim Theatre,11-Dec-21,29-May-22,1,0,Musical
The Phantom of the Opera,Majestic Theatre,,16-Apr-23,2,1,Musical
Trouble in Mind,American Airlines Theatre,,09-Jan-22,1,0,Play
Clyde's,Hayes Theater,24-Nov-21,16-Jan-22,1,0,Play
Diana,Longacre Theatre,,19-Dec-21,1,0,Musical
The Book of Mormon,Eugene O'Neill Theatre,,,2,1,Musical
Flying Over Sunset,Vivian Beaumont Theater,14-Dec-21,16-Jan-22,1,0,Musical
Harry Potter and the Cursed Child,Lyric Theatre,,,2,1,Play
Company,Bernard B. Jacobs Theatre,,01-Jul-07,4,1,Musical
Slave Play,August Wilson Theatre,07-Oct-19,19-Jan-20,2,1,Play
Dear Evan Hansen,Music Box Theatre,,18-Sep-22,2,1,Musical
MJ The Musical,Neil Simon Theatre,,,1,0,Musical
The Music Man,Winter Garden Theatre,,30-Dec-01,2,1,Musical
Skeleton Crew,Samuel J. Friedman Theatre,,20-Feb-22,1,0,
Plaza Suite,Hudson Theatre,,26-Jun-22,1,0,Play
Take Me Out,Hayes Theater,16-Mar-26,04-Jan-04,2,1,Play
Birthday Candles,American Airlines Theatre,,29-May-22,1,0,Play
Paradise Square,Ethel Barrymore Theatre,04-Apr-22,17-Jul-22,1,0,Musical
American Buffalo,Circle in the Square Theatre,,04-Feb-84,2,1,Play
Funny Girl,August Wilson Theatre,,03-Sep-23,1,0,Musical
How I Learned to Drive,Samuel J. Friedman Theatre,20-Apr-22,12-Jun-22,1,0,
Macbeth,Longacre Theatre,,10-Jul-22,5,1,Play
Mr. Saturday Night,Nederlander Theatre,24-May-22,04-Sep-22,1,0,Musical
The Little Prince,Broadway Theatre,,08-May-22,1,0,
The Minutes,Studio 54,18-Apr-22,24-Jul-22,2,1,Play
The Skin of Our Teeth,Vivian Beaumont Theater,,29-May-22,1,0,
for colored girls who have considered suicide/when the rainbow is enuf,Booth Theatre,21-Apr-22,05-Jun-22,1,0,Play
Beetlejuice,Marquis Theatre,,03-Jan-26,2,1,Musical
Hangmen,John Golden Theatre,,18-Jun-22,2,1,Play
A Strange Loop,Lyceum Theatre,,15-Jan-23,1,0,Musical
"POTUS: Or, Behind Every Great Dumbass Are Seven Women Trying to Keep Him Alive",Sam S. Shubert Theatre,,,1,0,
Into the Woods,St. James Theatre,,08-Jan-23,3,1,Musical
The Kite Runner,Hayes Theater,22-Jul-22,30-Oct-22,1,0,Play
1776,American Airlines Theatre,,14-Jun-98,2,1,Musical
Cost of Living,Samuel J. Friedman Theatre,04-Oct-22,06-Nov-22,1,0,Play
Death of a Salesman,Hudson Theatre,,09-Aug-26,3,1,Play
Leopoldstadt,Longacre Theatre,,02-Jul-23,1,0,Play
The Piano Lesson,Ethel Barrymore Theatre,15-Oct-22,29-Jan-23,2,1,Play
Topdog/Underdog,John Golden Theatre,,11-Aug-02,1,0,Play
Almost Famous,Bernard B. Jacobs Theatre,05-Nov-22,08-Jan-23,1,0,Musical
KPOP,Circle in the Square Theatre,22-Nov-22,11-Dec-22,1,0,Musical
Kimberly Akimbo,Booth Theatre,,28-Apr-24,1,0,Musical
Walking with Ghosts,Music Box Theatre,,,1,0,
& Juliet,Stephen Sondheim Theatre,,,1,0,Musical
Mike Birbiglia: The Old Man & the Pool,Vivian Beaumont Theater,,,1,0,
Take Me Out,Gerald Schoenfeld Theatre,16-Mar-26,04-Jan-04,2,1,Play
"A Beautiful Noise, The Neil Diamond Musical",Broadhurst Theatre,,30-Jun-24,1,0,Musical
Some Like It Hot,Sam S. Shubert Theatre,,30-Dec-23,1,0,Musical
A Christmas Carol,Nederlander Theatre,23-Nov-22,01-Jan-23,6,1,Musical
Ain't No Mo',Belasco Theatre,,23-Dec-22,1,0,Play
Ohio State Murders,James Earl Jones Theatre,12-Dec-22,15-Jan-23,1,0,Play
Between Riverside and Crazy,Hayes Theater,22-Dec-22,19-Feb-23,1,0,Play
The Collaboration,Samuel J. Friedman Theatre,,11-Feb-23,1,0,Play
Pictures From Home,Studio 54,,30-Apr-23,1,0,Play
A Doll's House,Hudson Theatre,15-Mar-23,10-Jun-23,2,1,Play
Bad Cinderella,Imperial Theatre,08-May-23,04-Jun-23,1,0,Musical
Parade,Bernard B. Jacobs Theatre,,06-Aug-23,2,1,Musical
Sweeney Todd,Lunt-Fontanne Theatre,,05-May-24,3,1,Musical
Dancin',Music Box Theatre,,,1,0,
Camelot,Vivian Beaumont Theater,14-Apr-23,23-Jul-23,2,1,Musical
Life of Pi,Gerald Schoenfeld Theatre,04-Apr-23,23-Jul-23,1,0,Play
Shucked,Nederlander Theatre,,14-Jan-24,1,0,Musical
Jonas Brothers,Marquis Theatre,,,1,0,
Peter Pan Goes Wrong,Ethel Barrymore Theatre,21-Jun-23,23-Jul-23,1,0,Play
Fat Ham,American Airlines Theatre,24-Apr-23,02-Jul-23,1,0,Play
"New York, New York",St. James Theatre,29-Apr-23,30-Jul-23,1,0,Musical
The Thanksgiving Play,Hayes Theater,,11-Jun-23,1,0,Play
"Good Night, Oscar",Belasco Theatre,,27-Aug-23,1,0,Play
"Summer, 1976",Samuel J. Friedman Theatre,,28-May-23,1,0,Play
Prima Facie,John Golden Theatre,24-Apr-23,02-Jul-23,1,0,Play
Grey House,Lyceum Theatre,,30-Jul-23,1,0,Play
The Sign in Sidney Brustein's Window,James Earl Jones Theatre,05-May-23,02-Jul-23,1,0,Play
Once Upon A One More Time,Marquis Theatre,24-Jun-23,03-Sep-23,1,0,Musical
Here Lies Love,Broadway Theatre,,26-Nov-23,1,0,Musical
Just For Us,Hudson Theatre,,19-Aug-23,1,0,Play
Back To The Future,Winter Garden Theatre,,05-Jan-25,1,0,Musical
The Cottage,Hayes Theater,26-Jul-23,29-Oct-23,1,0,Play
The Shark is Broken,John Golden Theatre,14-Aug-23,19-Nov-23,1,0,Play
El Mago Pop,Ethel Barrymore Theatre,,27-Aug-23,1,0,Play
Purlie Victorious,Music Box Theatre,12-Oct-23,04-Feb-24,1,0,Play
Gutenberg! The Musical!,James Earl Jones Theatre,16-Oct-23,28-Jan-24,1,0,Musical
Jaja’s African Hair Braiding,Samuel J. Friedman Theatre,,19-Nov-23,1,0,Play
Melissa Etheridge: My Window,Circle in the Square Theatre,,19-Nov-23,1,0,Musical
Merrily We Roll Along,Hudson Theatre,,07-Jul-24,1,0,Musical
I Need That,American Airlines Theatre,,30-Dec-23,1,0,Play
Harmony,Ethel Barrymore Theatre,17-Jan-24,04-Feb-24,1,0,Musical
Spamalot,St. James Theatre,,07-Apr-24,2,1,Musical
How to Dance in Ohio,Belasco Theatre,08-Jan-24,11-Feb-24,1,0,Musical
Appropriate,Belasco Theatre,15-Apr-24,30-Jun-24,1,0,Play
Prayer For The French Republic,Samuel J. Friedman Theatre,17-Jan-24,04-Feb-24,1,0,Play
Days Of Wine And Roses,Studio 54,01-Feb-24,31-Mar-24,1,0,Musical
Doubt,Todd Haimes Theatre,06-Mar-24,21-Apr-24,2,1,Play
The Notebook,Gerald Schoenfeld Theatre,,15-Dec-24,1,0,Musical
Water For Elephants,Imperial Theatre,30-Oct-24,08-Dec-24,1,0,Musical
An Enemy of the People,Circle in the Square Theatre,27-Mar-24,23-Jun-24,2,1,Play
The Who's Tommy,Nederlander Theatre,,21-Jul-24,2,1,Musical
The Outsiders,Bernard B. Jacobs Theatre,,,1,0,Musical
Lempicka,Longacre Theatre,15-Apr-24,19-May-24,1,0,Musical
Hell's Kitchen,Sam S. Shubert Theatre,,15-Jan-26,1,0,Musical
Suffs,Music Box Theatre,,05-Jan-25,1,0,Musical
The Great Gatsby,Broadway Theatre,,,1,0,Musical
The Heart of Rock and Roll,James Earl Jones Theatre,24-Apr-24,23-Jun-24,1,0,Musical
The Wiz,Marquis Theatre,18-Apr-24,18-Aug-24,1,0,Musical
Cabaret,August Wilson Theatre,,,4,1,Musical
Mary Jane,Samuel J. Friedman Theatre,25-Apr-24,30-Jun-24,1,0,Play
Mother Play,Hayes Theater,29-Apr-24,16-Jun-24,1,0,Play
Patriots,Ethel Barrymore Theatre,01-May-24,23-Jun-24,1,0,Play
Stereophonic,John Golden Theatre,,12-Jan-25,1,0,Play
Uncle Vanya,Vivian Beaumont Theater,25-Apr-24,16-Jun-24,3,1,Play
Illinoise,St. James Theatre,10-May-24,10-Aug-24,1,0,Musical
Home,Todd Haimes Theatre,,21-Jul-24,1,0,Play
Ben Platt: Live at the Palace,Palace Theatre,29-May-24,15-Jun-24,1,0,
"Oh, Mary!",Lyceum Theatre,,,1,0,Play
JOB,Helen Hayes Theatre,05-Aug-24,27-Oct-24,1,0,Play
Once Upon a Mattress,Hudson Theatre,14-Aug-24,30-Nov-24,2,1,Musical
The Roommate,Booth Theatre,21-Sep-24,15-Dec-24,1,0,Play
McNeal,Vivian Beaumont Theater,02-Oct-24,24-Nov-24,1,0,Play
The Hills of California,Broadhurst Theatre,,22-Dec-24,1,0,Play
Yellow Face,Todd Haimes Theatre,07-Oct-24,24-Nov-24,1,0,Play
Our Town,Ethel Barrymore Theatre,15-Oct-24,19-Jan-25,3,1,Play
Left on Tenth,James Earl Jones Theatre,01-Nov-24,02-Feb-25,1,0,Play
Romeo and Juliet,Circle in the Square Theatre,12-Apr-27,31-May-87,2,1,Play
Sunset Boulevard,St. James Theatre,,20-Jul-25,3,1,Musical
A Wonderful World: The Louis Armstrong Musical,Studio 54,14-Nov-24,23-Feb-25,1,0,Musical
Maybe Happy Ending,Belasco Theatre,,,1,0,Musical
