run_id,show,theatre,opening_date,closing_date,date_source,is_revival,revival_rank,genre,based_on,lead_cast,title_ambiguous,n_weeks_observed
master-harold-and-the-boys-run1,"""Master Harold""...and the Boys",Royale Theatre,2003-05-11,2003-07-13,week_range,False,1,,,,,10
juliet-run1,& Juliet,Stephen Sondheim Theatre,2022-10-30,2026-08-16,week_range,False,1,,,,,199
night-mother-run1,"'night, Mother",Royale Theatre,2004-10-24,2005-01-09,week_range,False,1,,,,,12
110-in-the-shade-run1,110 in the Shade,Studio 54,2007-04-15,2007-07-29,week_range,False,1,,,,,16
13-run1,13,Bernard B. Jacobs Theatre,2008-09-21,2009-01-04,week_range,False,1,,,,,16
1776-run1,1776,Gershwin Theatre,1997-07-20,2023-01-08,week_range,False,1,,,,,63
1984-run1,1984,Hudson Theatre,2017-05-21,2017-10-08,week_range,False,1,,,,,21
3-from-brooklyn-run1,3 from Brooklyn,Helen Hayes Theatre,1992-11-15,1992-12-27,week_range,False,1,,,,,7
33-variations-run1,33 Variations,Eugene O'Neill Theatre,2009-02-15,2009-05-24,week_range,False,1,,,,,15
42nd-street-run1,42nd Street,St. James Theatre,2001-05-02,2005-01-02,show_level,True,1,Musical,,,,188
42nd-street-run2,42nd Street,Ford Center for the Performing Arts,2001-05-02,2005-01-02,show_level,True,2,Musical,,,,196
45-seconds-from-broadway-run1,45 Seconds from Broadway,Richard Rodgers Theatre,2001-10-21,2002-01-13,week_range,False,1,,,,,13
700-sundays-run1,700 Sundays,Broadhurst Theatre,2004-11-14,2005-06-12,week_range,True,1,,,,,29
700-sundays-run2,700 Sundays,Imperial Theatre,2013-11-10,2014-01-05,week_range,True,2,,,,,9
9-to-5-run1,9 to 5,Marquis Theatre,2009-04-12,2009-09-06,week_range,False,1,,,,,22
a-beautiful-noise-the-neil-diamond-music-run1,"A Beautiful Noise, The Neil Diamond Musical",Broadhurst Theatre,2022-11-06,2024-06-30,week_range,False,1,,,,,87
a-behanding-in-spokane-run1,A Behanding in Spokane,Gerald Schoenfeld Theatre,2010-02-21,2010-06-06,week_range,False,1,,,,,16
a-bronx-tale-run1,A Bronx Tale,Walter Kerr Theatre,2007-10-07,2008-02-24,week_range,False,1,,,,,21
a-bronx-tale-the-musical-run1,A Bronx Tale The Musical,Longacre Theatre,2016-11-06,2018-08-05,week_range,False,1,,,,,92
a-catered-affair-run1,A Catered Affair,Walter Kerr Theatre,2008-03-30,2008-07-27,week_range,False,1,,,,,18
