show,theatre,opening_date,running_time_minutes,source,source_url,status
Pass Over,August Wilson Theatre,,75,wikipedia,https://en.wikipedia.org/wiki/Pass_Over,ok
Hadestown,Walter Kerr Theatre,,,,,not_found
Waitress,Ethel Barrymore Theatre,,,,,not_found
Chicago,Ambassador Theatre,,,,,not_found
David Byrne's American Utopia,St. James Theatre,15-Oct-21,105,wikipedia,https://en.wikipedia.org/wiki/American_Utopia_(film),ok
Hamilton,Richard Rodgers Theatre,,,,,not_found
Lackawanna Blues,Samuel J. Friedman Theatre,27-Sep-21,,,,not_found
SIX: The Musical,Lena Horne Theatre,,,,,not_found
The Lion King,Minskoff Theatre,,88,wikipedia,https://en.wikipedia.org/wiki/The_Lion_King,ok
Wicked,Gershwin Theatre,,,,,not_found
Chicken & Biscuits,Circle in the Square Theatre,,,,,not_found
Come From Away,Gerald Schoenfeld Theatre,,,,,not_found
Is This A Room,Lyceum Theatre,12-Oct-21,,,,not_found
Moulin Rouge! The Musical,Al Hirschfeld Theatre,,,,,not_found
The Lehman Trilogy,Nederlander Theatre,,,,,not_found
Aladdin,New Amsterdam Theatre,,,,,not_found
Dana H.,Lyceum Theatre,,,,,not_found
Thoughts of a Colored Man,John Golden Theatre,,,,,not_found
"Caroline, or Change",Studio 54,,,,,not_found
Freestyle Love Supreme,Booth Theatre,,,,,not_found
Tina: The Tina Turner Musical,Lunt-Fontanne Theatre,09-Oct-21,,,,not_found
To Kill A Mockingbird,Sam S. Shubert Theatre,06-Oct-21,,,,not_found
Ain't Too Proud—The Life and Times of the Temptations,Imperial Theatre,18-Oct-21,,,,not_found
Girl From the North Country,Belasco Theatre,,,,,not_found
Jagged Little Pill,Broadhurst Theatre,22-Oct-21,,,,not_found
Mrs. Doubtfire,Stephen Sondheim Theatre,11-Dec-21,125,wikipedia,https://en.wikipedia.org/wiki/Mrs._Doubtfire,ok
The Phantom of the Opera,Majestic Theatre,,,,,not_found
Trouble in Mind,American Airlines Theatre,,,,,not_found
Clyde's,Hayes Theater,24-Nov-21,,,,not_found
Diana,Longacre Theatre,,,,,not_found
The Book of Mormon,Eugene O'Neill Theatre,,,,,not_found
Flying Over Sunset,Vivian Beaumont Theater,14-Dec-21,,,,not_found
Harry Potter and the Cursed Child,Lyric Theatre,,,,,not_found
Company,Bernard B. Jacobs Theatre,,,,,not_found
Slave Play,August Wilson Theatre,07-Oct-19,,,,not_found
Dear Evan Hansen,Music Box Theatre,,,,,not_found
MJ The Musical,Neil Simon Theatre,,,,,not_found
The Music Man,Winter Garden Theatre,,,,,not_found
Skeleton Crew,Samuel J. Friedman Theatre,,,,,not_found
Plaza Suite,Hudson Theatre,,,,,not_found
Take Me Out,Hayes Theater,16-Mar-26,,,,not_found
